,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Labyrinth Lost Zoraida Córdova,"Labyrinth Lost (Brooklyn Brujas, #1)",Zoraida Córdova,Sourcebooks Fire,4252,3.74,"('8', '1', '2017')",2017
0,Drowning Summer Christine Lynn Herman,The Drowning Summer,Christine Lynn Herman,Little Brown,3,4.33,"(None, None, '2022')",2022
0,PEOPLE LIKE US Dana Mele,People Like Us,Dana  Mele,G.P. Putnam's Sons Books for Young Readers,7900,3.54,"('2', '27', '2018')",2018
0,Half in Love with Death Emily Ross,Half in Love with Death,Emily  Ross,Simon Pulse,187,3.83,"('12', '16', '2015')",2015
0,Audacious Gabrielle Prendergast,Audacious (Ella #1),Gabrielle S. Prendergast,Orca,468,3.77,"('10', '1', '2013')",2013
0,Temporary People  Deepak Unnikrishnan,Temporary People,Deepak Unnikrishnan,Restless Books,511,3.47,"('3', '14', '2017')",2017
0,Always Greener J.R.H. Lawless,Always Greener,J.R.H. Lawless,,46,3.53,"(None, None, None)",
0,Gender Queer: A Memoir  Maia Kobabe,Gender Queer: A Memoir,Maia Kobabe,,210,4.38,"(None, None, None)",
0,The Seven-Petaled Shield Deborah J. Ross,"The Seven-Petaled Shield (The Seven-Petaled Shield, #1)",Deborah J. Ross,DAW,72,3.42,"('6', '4', '2013')",2013
1,The Seven-Petaled Shield Deborah J. Ross,The Heir of Khored: Book Three of The Seven-Petaled Shield,Deborah J. Ross,DAW,18,3.45,"('6', '3', '2014')",2014
2,The Seven-Petaled Shield Deborah J. Ross,Shannivar: Volume Two of The Seven-Petaled Shield (The Seven-Petaled Shield Trilogy),Deborah J. Ross,,8,3.28,"(None, None, None)",
0,The Way of Shadows Brent Weeks,"The Way of Shadows (Night Angel, #1)",Brent Weeks,Orbit,140326,4.14,"('10', '1', '2008')",2008
1,The Way of Shadows Brent Weeks,The Way of Shadows: The Graphic Novel,Brent Weeks,Yen Press,466,4.14,"('10', '7', '2014')",2014
2,The Way of Shadows Brent Weeks,"The Way of Shadows, Part 2 of 2 (Night Angel, #1, part 2)",Brent Weeks,Graphic Audio,906,4.52,"('4', '1', '2010')",2010
3,The Way of Shadows Brent Weeks,"The Way of Shadows, Part 1 of 2 (Night Angel, #1, part 1)",Brent Weeks,GraphicAudio,614,4.50,"('4', '1', '2010')",2010
4,The Way of Shadows Brent Weeks,The Way of Shadows: The Graphic Novel (First Chapter Free Preview) (The Night Angel Trilogy),Brent Weeks,,105,4.24,"(None, None, None)",
0,Children of Tomorrow  Robert Greenberger,The Children of Tomorrow (This Alien Earth Book 3),Paul Antony Jones,,24,4.25,"(None, None, None)",
0,THE BLACK CAT MYSTERY M. Garnet,The Black Cat Mystery,M. Garnet,,0,0.00,"(None, None, None)",
0,THE RAMSHEAD ALGORITHM AND OTHER STORIES KJ Kabza,The Ramshead Algorithm and Other Stories,K.J. Kabza,Pink Narcissus Press,18,3.67,"('1', '16', '2018')",2018
0,Consider the Platypus: Evolution through Biology's Most Baffling Beasts Maggie Ryan Sandford,Consider the Platypus: Evolution through Biology's Most Baffling Beasts,Maggie Ryan Sandford,Black Dog & Leventhal,54,3.93,"('8', '27', '2019')",2019
0,Squad Goals Erika J. Kendrick,Squad Goals,Erika J Kendrick,"Little, Brown Books for Young Readers",2,5.00,"('4', '6', '2021')",2021
0,Son of the Storm (The Nameless Republic #1) Suyi Davies Okungbowa,"Son of the Storm (The Nameless Republic, #1)",Suyi Davies Okungbowa,Orbit,0,0.00,"('5', '11', '2021')",2021
