,search_term,title,author,publisher,ratings_count,average_rating,pub_date,pub_year
0,Siren Depths,"The Siren Depths (Books of the Raksura, #3)",Martha Wells,Night Shade Books,2665,4.25,"('12', '4', '2012')",2012
1,Siren Depths,The Depths (The Siren Sisters Book 1),Nicholas Jordan,,12,3.92,"(None, None, None)",
2,Siren Depths,"Darker Depths (The Siren Wars Saga, #2)",K.M. Robinson,,3,4.33,"(None, None, None)",
0,Raksura,"The Cloud Roads (Books of the Raksura, #1)",Martha Wells,Night Shade Books,6106,3.97,"('3', '15', '2011')",2011
1,Raksura,The Serpent Sea (Books of the Raksura #2),Martha Wells,Night Shade Books,3292,4.08,"('1', '3', '2012')",2012
2,Raksura,"The Siren Depths (Books of the Raksura, #3)",Martha Wells,Night Shade Books,2665,4.25,"('12', '4', '2012')",2012
3,Raksura,"Stories of the Raksura, Volume 1: The Falling World & The Tale of Indigo and Cloud",Martha Wells,Night Shade,1010,4.22,"('10', '7', '2014')",2014
4,Raksura,"The Harbors of the Sun (The Books of the Raksura, #5)",Martha Wells,Night Shade Books,1097,4.23,"('7', '4', '2017')",2017
5,Raksura,"The Edge of Worlds (The Books of the Raksura, #4)",Martha Wells,Night Shade,1279,4.08,"('4', '5', '2016')",2016
6,Raksura,"Stories of the Raksura, Volume 2: The Dead City & The Dark Earth Below",Martha Wells,Night Shade,785,4.28,"('6', '2', '2015')",2015
7,Raksura,"The Tale of Indigo and Cloud  (Books of the Raksura, #0.1)",Martha Wells,Night Shade Books,137,4.27,"('11', '4', '2014')",2014
8,Raksura,"The Dead City (Books of the Raksura, #0.3)",Martha Wells,Night Shade Books,52,4.08,"('12', '12', '2017')",2017
9,Raksura,"The Falling World (The Books of the Raksura, #3.6)",Martha Wells,,159,4.21,"(None, None, None)",
10,Raksura,The Books of the Raksura: The Complete Raksura Series,Martha Wells,Night Shade Books,104,4.42,"('7', '15', '2013')",2013
11,Raksura,"The Dark Earth Below (The Books of the Raksura, #3.7)",Martha Wells,,52,4.35,"(None, None, None)",
0,The Edge of Worlds,To The Bright Edge of the World,Eowyn Ivey,"Little, Brown and Company",11523,4.13,"('8', '2', '2016')",2016
1,The Edge of Worlds,Over the Edge of the World: Magellan's Terrifying Circumnavigation of the Globe,Laurence Bergreen,William Morrow Paperbacks,11843,4.12,"('11', '2', '2004')",2004
2,The Edge of Worlds,Island of the Lost: Shipwrecked at the Edge of the World,Joan Druett,Algonquin Books,4490,4.01,"(None, None, '2007')",2007
3,The Edge of Worlds,A Crack in the Edge of the World,Simon Winchester,Harper Perennial,5565,3.79,"('10', '10', '2006')",2006
4,The Edge of Worlds,The Library at the Edge of the World (Finfarran #1),Felicity Hayes-McCoy,Hachette Books Ireland,4143,3.48,"('11', '14', '2017')",2017
5,The Edge of Worlds,The Particle at the End of the Universe: How the Hunt for the Higgs Boson Leads Us to the Edge of a New World,Sean Carroll,Dutton,2906,4.05,"(None, None, None)",
6,The Edge of Worlds,The King at the Edge of the World,Arthur Phillips,,620,3.67,"(None, None, None)",
7,The Edge of Worlds,Safe at the Edge of the World (Conor O'Shea #2),Jean Grainger,,2045,4.10,"(None, None, None)",
8,The Edge of Worlds,"A History of Britain: At the Edge of the World? 3500 BC-AD 1603 (A History of Britain, #1)",Simon Schama,Talk Miramax Books,2371,4.07,"('10', '25', '2000')",2000
9,The Edge of Worlds,"At the Edge of the World (Crispin, #2)",Avi,"Little, Brown Books for Young Readers",2629,3.69,"('8', '8', '2006')",2006
10,The Edge of Worlds,My Diary from the Edge of the World,Jodi Lynn Anderson,Aladdin,1328,4.10,"('11', '3', '2015')",2015
11,The Edge of Worlds,"The Edge of Worlds (The Books of the Raksura, #4)",Martha Wells,Night Shade,1279,4.08,"('4', '5', '2016')",2016
12,The Edge of Worlds,"Dancing at the Edge of the World: Thoughts on Words, Women, Places",Ursula K. Le Guin,Grove Press,745,4.10,"('9', '24', '1997')",1997
13,The Edge of Worlds,The Edge of the World: A Cultural History of the North Sea and the Transformation of Europe,Michael Pye,Pegasus Books,1030,3.59,"('4', '15', '2015')",2015
14,The Edge of Worlds,"The Edge of the World (Terra Incognita, #1)",Kevin J. Anderson,Orbit,1221,3.53,"('6', '8', '2009')",2009
15,The Edge of Worlds,The House at the Edge of the World,Julia Rochester,Viking,740,3.66,"('6', '4', '2015')",2015
16,The Edge of Worlds,Leaving Mother Lake: A Girlhood at the Edge of the World,Yang Erche Namu,Back Bay Books,1273,3.92,"('2', '10', '2004')",2004
17,The Edge of Worlds,The Zoo at the Edge of the World,Eric Kahn Gale,Balzer + Bray,719,3.89,"('8', '26', '2014')",2014
18,The Edge of Worlds,Later: My Life at the Edge of the World,Paul Lisicky,Graywolf Press,200,4.19,"('3', '17', '2020')",2020
19,The Edge of Worlds,A Boy at the Edge of the World,David Kingston Yeh,Guernica Editions,84,3.91,"('3', '28', '2018')",2018
0,Network Effect,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,,12574,4.43,"(None, None, None)",
1,Network Effect,"Old Nazis, the New Right, and the Republican Party: Domestic fascist networks and their effect on U.S. cold war politics",Russ Bellant,South End Press,15,4.67,"('7', '1', '1999')",1999
2,Network Effect,The Network Effect: A practical guide to making - and keeping - the connections that can make your world go round,A. Newton,Management Advantage Ltd,15,3.87,"('1', '17', '2011')",2011
3,Network Effect,Network effect: Quando la rete diventa pop,Lella Mazzoli,Codice Edizioni,10,3.70,"('9', '15', '2009')",2009
4,Network Effect,The Network Effect: a practical guide to making- and keeping- the connections that can make your world go round,Tony Newton,,6,2.67,"(None, None, None)",
5,Network Effect,The Fox Effect: How Roger Ailes Turned a Network into a Propaganda Machine,David Brock,Anchor Books,326,3.82,"('2', '21', '2012')",2012
6,Network Effect,Freakishly Effective Social Media for Network Marketing: How to Stop Wasting Your Time on Things That Don’t Work and Start Doing What Does,Ray Higdon,,177,4.17,"(None, None, None)",
7,Network Effect,The 7 Habits of Highly Effective Network Marketing Professionals,Stephen R. Covey,,97,4.26,"(None, None, None)",
8,Network Effect,"Practicing Profitability - Billing Network Effect for Revenue Cycle Control in Healthcare Clinics and Chiropractic Offices: Collections, Audit Risk, Soap Notes, Scheduling, Care Plans, and Coding",Yuval Lirov,"Affinity Billing, Inc",2,3.00,"('9', '27', '2007')",2007
9,Network Effect,Leadership: Building Highly Effective Teams How to Transform Teams into Exceptionally Cohesive Professional Networks - a practical guide (Leadership Influence Project and Team Book 1),Michael Nir,,91,3.60,"(None, None, None)",
10,Network Effect,Cloud Computing and the Startling Network Effect of the Web Services Ecosystem (Bronze Drum Cloud Computing),Brian McCallion,,0,0.00,"(None, None, None)",
11,Network Effect,Network effect. Quando la rete diventa pop,Lella Mazzoli,,0,0.00,"(None, None, None)",
12,Network Effect,New Business Networking: How to Effectively Grow Your Business Network Using Online and Offline Methods,Dave Delaney,Que,18,4.31,"('5', '20', '2013')",2013
13,Network Effect,"Croissants vs. Bagels: Strategic, Effective, and Inclusive Networking at Conferences",Robbie Samuels,,60,4.24,"(None, None, None)",
14,Network Effect,"All Self-Contradictory Articles: Franklin D. Roosevelt, Japanese Language, Network Effect, Comet, Fatw, Jack Ryan, Iguazu Falls, Eta Carinae",Source Wikipedia,"Books LLC, Wiki Series",0,0.00,"('9', '1', '2011')",2011
15,Network Effect,"Networks: Network Effect, Reed's Law, Streaming Media, Head End, Protective Distribution System, Gene Regulatory Network, Bayesian Network",Books LLC,"Books LLC, Wiki Series",0,0.00,"('6', '25', '2011')",2011
16,Network Effect,"Business Models: Network Effect, Pyramid Scheme, Business Model, Gratis, Cooperative, Auction, Scenario Planning, Affiliate Marketing",Source Wikipedia,"Books LLC, Wiki Series",0,0.00,"('6', '25', '2011')",2011
17,Network Effect,Highly Effective Networking: Meet the Right People and Get a Great Job,Orville Pierson,Career Press,66,3.55,"('2', '15', '2009')",2009
18,Network Effect,"Freakishly Effective Leadership for Network Marketers: How to Reduce Frustration, Drive Massive Duplication and Become a Leader Worth Following",Ray Higdon,,40,4.50,"(None, None, None)",
